Analog Input 0,Object name,0454_AHU02.SADSP,,
Analog Input 0,Present value,0.7861059,,
Analog Input 0,Units,inches of water,,
Analog Input 1,Object name,0454_AHU11.SADSP,,
Analog Input 1,Present value,0.80076075,,
Analog Input 1,Units,inches of water,,
Analog Input 10,Object name,0454_AHU11.RACO2,,
Analog Input 10,Present value,607.99994,,
Analog Input 10,Units,parts per million,,
Analog Input 10904,Object name,0454_VV-02-04:ROOM TEMP,,
Analog Input 10904,Present value,69.5,,
Analog Input 10904,Units,degrees fahrenheit,,
Analog Input 10913,Object name,0454_VV-02-04:RM STPT DIAL,,
Analog Input 10913,Present value,55.25,,
Analog Input 10913,Units,degrees fahrenheit,,
Analog Input 10915,Object name,0454_VV-02-04:AUX TEMP,,
Analog Input 10915,Present value,57,,
Analog Input 10915,Units,degrees fahrenheit,,
Analog Input 10935,Object name,0454_VV-02-04:AIR VOLUME,,
Analog Input 10935,Present value,120,,
Analog Input 10935,Units,,,
Analog Input 11,Object name,0454_AHU02.CHW.ST,,
Analog Input 11,Present value,43.993744,,
Analog Input 11,Units,degrees fahrenheit,,
Analog Input 11004,Object name,0454_VV-02-01:ROOM TEMP,,
Analog Input 11004,Present value,75,,
Analog Input 11004,Units,degrees fahrenheit,,
Analog Input 11013,Object name,0454_VV-02-01:RM STPT DIAL,,
Analog Input 11013,Present value,55,,
Analog Input 11013,Units,degrees fahrenheit,,
Analog Input 11015,Object name,0454_VV-02-01:AUX TEMP,,
Analog Input 11015,Present value,55.5,,
Analog Input 11015,Units,degrees fahrenheit,,
Analog Input 11035,Object name,0454_VV-02-01:AIR VOLUME,,
Analog Input 11035,Present value,152,,
Analog Input 11035,Units,,,
Analog Input 11104,Object name,0454_VV-02-02:ROOM TEMP,,
Analog Input 11104,Present value,72.5,,
Analog Input 11104,Units,degrees fahrenheit,,
Analog Input 11113,Object name,0454_VV-02-02:RM STPT DIAL,,
Analog Input 11113,Present value,55,,
Analog Input 11113,Units,degrees fahrenheit,,
